PELAAJA,JOUKKUE,viimeinen,O,L,M,M/O,L/O,raw,raw_luokka,yhd_luokka_eb,L/O_luokka,eb_raw,alhpa_new,beta_new,eb_raw_luokka,Games Left,Mean_Goals,CI_Lower,CI_Upper,Final_Goals,Final_CI_Lower,Final_CI_Upper
Aarela Ilmari,ErVi,2025,17,45,3,0.17647058823529413,2.6470588235294117,0.06666666666666667,"Average Low,%","Low,% -- Average High,spg","Average High,spg",0.08152465340166906,5.498874516323286,67.45044948833487,"Low,%",16,3.244,1,6,6.244,4,9
Aho Tuomas,ErVi,2025,14,16,1,0.07142857142857142,1.1428571428571428,0.0625,"Average Low,%","Low,% -- Average Low,spg","Average Low,spg",0.09099697306229873,3.498874516323286,38.45044948833487,"Low,%",16,1.554,0,3,2.5540000000000003,1,4
Ahola Juuso,KrP,2025,15,94,16,1.0666666666666667,6.266666666666667,0.1702127659574468,"High,%","High,% -- Very High,spg","Very High,spg",0.15885618816934122,18.498874516323287,116.45044948833487,"High,%",17,14.723,10,20,30.723,26,36
Ahola Vili,LASB,2025,17,14,0,0,0.8235294117647058,0,"Low,%","Low,% -- Low,spg","Low,spg",0.06855538275661027,2.498874516323286,36.45044948833487,"Low,%",16,0.864,0,2,0.864,0,2
Ainoa Luka,KrP,2025,16,10,2,0.125,0.625,0.2,"High,%","High,% -- Low,spg","Low,spg",0.13863828043246426,4.498874516323286,32.45044948833487,"High,%",17,1.278,0,3,3.278,2,5
Alkki Lauri,KrP,2025,14,5,2,0.14285714285714285,0.35714285714285715,0.4,"Very High,%","Very High,% -- Low,spg","Low,spg",0.16389074132411177,4.498874516323286,27.45044948833487,"Very High,%",17,0.847,0,2,2.847,2,4
Arkkila Olli,KrP,2025,6,9,1,0.16666666666666666,1.5,0.1111111111111111,"Average High,%","Average High,% -- Average Low,spg","Average Low,spg",0.11125038189425676,3.498874516323286,31.45044948833487,"Average High,%",17,2.604,1,5,3.604,2,6
Aro Konsta,KrP,2025,8,8,2,0.25,1,0.25,"Very High,%","High,% -- Low,spg","Low,spg",0.1477441086065656,4.498874516323286,30.45044948833487,"High,%",17,2.141,0,4,4.141,2,6
Astala Aaro,Oilers,2025,13,124,22,1.6923076923076923,9.538461538461538,0.1774193548387097,"High,%","Very High,% -- Very High,spg","Very High,spg",0.16728439278893906,24.498874516323287,146.45044948833487,"Very High,%",15,20.475,15,26.100000000000023,42.475,37,48.10000000000002
Auranen Leevi,Indians,2025,18,37,6,0.3333333333333333,2.0555555555555554,0.16216216216216217,"High,%","High,% -- Average High,spg","Average High,spg",0.14295727937247812,8.498874516323287,59.45044948833487,"High,%",15,3.861,2,6,9.861,8,12
Autio Janne,SPV,2025,18,28,2,0.1111111111111111,1.5555555555555556,0.07142857142857142,"Average Low,%","Low,% -- Average Low,spg","Average Low,spg",0.08917412157771784,4.498874516323286,50.45044948833487,"Low,%",15,1.908,0,4,3.908,2,6
