PELAAJA,JOUKKUE,O,L,M,M/O,L/O,raw,Adjusted,Rank
Salokangas Tiitus,Classic,15,73,19,1.2666666666666666,4.866666666666666,0.2602739726027397,0.2252359693596906,1
Laakso Mikko,KrP,15,88,22,1.4666666666666666,5.866666666666666,0.25,0.22180873531810041,2
Hietaranta Ville,Classic,18,35,10,0.5555555555555556,1.9444444444444444,0.2857142857142857,0.21755921194073763,3
Kauppila Oskari,Jymy,18,37,10,0.5555555555555556,2.0555555555555554,0.2702702702702703,0.2102402021161466,4
Liponen Vili,KrP,15,19,6,0.4,1.2666666666666666,0.3157894736842105,0.20503696874783156,5
Tykkyläinen Konsta,Classic,18,64,15,0.8333333333333334,3.5555555555555554,0.234375,0.2024150784627729,6
Vänttilä Kimi,OLS,18,60,14,0.7777777777777778,3.3333333333333335,0.23333333333333334,0.20010654421790092,7
Karjanlahti Eero,SPV,18,41,10,0.5555555555555556,2.2777777777777777,0.24390243902439024,0.19698638255700868,8
Eklund Alex,TPS,18,49,11,0.6111111111111112,2.7222222222222223,0.22448979591836735,0.18892637643276322,9
Lastikka Ville,Classic,19,116,23,1.2105263157894737,6.105263157894737,0.19827586206896552,0.18417328806485161,10
