PELAAJA,JOUKKUE,O,L,M,M/O,L/O,raw,Adjusted,alhpa_new,beta_new,Games Left,CI_Lower,CI_Upper,Final_Goals,Final_CI_Lower,Final_CI_Upper
Astala Aaro,Oilers,13,124,22,1.6923076923076923,9.538461538461538,0.1774193548387097,0.16728439278893906,24.498874516323287,146.45044948833487,15,15,26.100000000000023,42.475,37,48.10000000000002
Laakso Mikko,KrP,15,88,22,1.4666666666666666,5.866666666666666,0.25,0.22180873531810041,24.498874516323287,110.45044948833487,17,13,24,40.103,35,46
Kainulainen Justus,Oilers,16,181,21,1.3125,11.3125,0.11602209944751381,0.11550170852618652,23.498874516323287,203.45044948833487,15,12,23,38.349000000000004,33,44
Lastikka Ville,Classic,19,116,23,1.2105263157894737,6.105263157894737,0.19827586206896552,0.18417328806485161,25.498874516323287,138.45044948833487,14,9,18,36.207,32,41
Vaarala Karri,Jymy,15,139,18,1.2,9.266666666666667,0.12949640287769784,0.12696697086497968,20.498874516323287,161.45044948833487,14,10,20,32.546,28,38
Äijälä Eemil,Jymy,19,197,19,1,10.368421052631579,0.09644670050761421,0.09796687391823311,21.498874516323287,219.45044948833487,14,8,18,31.911,27,37
Salmi Markus,Oilers,18,108,19,1.0555555555555556,6,0.17592592592592593,0.16480490945526222,21.498874516323287,130.45044948833487,15,8,17,31.646,27,36
Salokangas Tiitus,Classic,15,73,19,1.2666666666666666,4.866666666666666,0.2602739726027397,0.2252359693596906,21.498874516323287,95.45044948833487,14,8,17,31.515,27,36
Ahola Juuso,KrP,15,94,16,1.0666666666666667,6.266666666666667,0.1702127659574468,0.15885618816934122,18.498874516323287,116.45044948833487,17,10,20,30.723,26,36
Rantala Joona,KrP,15,88,16,1.0666666666666667,5.866666666666666,0.18181818181818182,0.16748573321358035,18.498874516323287,110.45044948833487,17,9,19,30.216,25,35
