PELAAJA,JOUKKUE,O,L,M,M/O,L/O,raw,Adjusted,Rank
Tuominen Sami,FBC,2,1,1,0.5,0.5,1,0.13217226317258673,1
Mäenpää Eero,Jymy,9,4,2,0.2222222222222222,0.4444444444444444,0.5,0.14707545363245594,2
Alkki Lauri,KrP,14,5,2,0.14285714285714285,0.35714285714285715,0.4,0.14353091660169845,3
Kantonen Kasperi,TPS,18,3,1,0.05555555555555555,0.16666666666666666,0.3333333333333333,0.1254789051088925,4
Liponen Vili,KrP,15,19,6,0.4,1.2666666666666666,0.3157894736842105,0.17940115508683888,5
Hietaranta Ville,Classic,18,35,10,0.5555555555555556,1.9444444444444444,0.2857142857142857,0.19520092148267215,6
Ordning Aapo,FBC,17,11,3,0.17647058823529413,0.6470588235294118,0.2727272727272727,0.14645372351711572,7
Kauppila Oskari,Jymy,18,37,10,0.5555555555555556,2.0555555555555554,0.2702702702702703,0.1898888662162635,8
Niemelä Oliver,TPS,11,15,4,0.36363636363636365,1.3636363636363635,0.26666666666666666,0.15449715885710139,9
Salokangas Tiitus,Classic,15,73,19,1.2666666666666666,4.866666666666666,0.2602739726027397,0.2096525934298496,10
