PELAAJA,JOUKKUE,O,M,S,P,R,+,-,+/-,L,L%,kausi
Äijälä Eemil,Jymy,19,19,21,40,32,49,51,-2,197,9.6,2024-2025
Iiskola Heikki,Oilers,15,14,24,38,2,38,21,17,107,13.1,2024-2025
Kainulainen Justus,Oilers,16,21,17,38,12,45,28,17,181,11.6,2024-2025
Salokangas Tiitus,Classic,15,19,17,36,2,38,18,20,73,26.0,2024-2025
Ahola Juuso,KrP,15,16,19,35,0,52,29,23,94,17.0,2024-2025
Hakanen Riku,SPV,18,17,18,35,4,46,33,13,131,13.0,2024-2025
Salmi Markus,Oilers,18,19,15,34,2,42,23,19,108,17.6,2024-2025
Salin Eemeli,Classic,17,17,16,33,0,46,25,21,101,16.8,2024-2025
Laakso Mikko,KrP,15,22,8,30,2,43,27,16,88,25.0,2024-2025
Astala Aaro,Oilers,13,22,8,30,2,35,18,17,124,17.7,2024-2025
Lindroos Yannick,FBC,16,9,20,29,2,34,50,-16,80,11.3,2024-2025
Rantala Joona,KrP,15,16,13,29,0,51,28,23,88,18.2,2024-2025
Lastikka Ville,Classic,19,23,6,29,4,43,34,9,116,19.8,2024-2025
Auvinen Jasper,Indians,18,13,15,28,4,44,24,20,137,9.5,2024-2025
Heikkilä Oskari,Classic,19,11,16,27,10,55,31,24,84,13.1,2024-2025
Viitakoski Valtteri,KrP,16,13,14,27,4,42,19,23,67,19.4,2024-2025
Kovanen Joonatan,KrP,16,13,12,25,4,46,27,19,75,17.3,2024-2025
Vaarala Karri,Jymy,15,18,7,25,4,39,39,0,139,12.9,2024-2025
Niemelä Jere,Indians,18,12,12,24,4,40,26,14,81,14.8,2024-2025
Hyvärinen Luukas,KrP,14,9,14,23,4,45,26,19,64,14.1,2024-2025
Einiö Niko,LASB,17,14,9,23,2,30,52,-22,178,7.9,2024-2025
Vesterinen Waltteri,TPS,18,8,14,22,28,36,23,13,124,6.5,2024-2025
Haukkala Konsta,SPV,17,12,10,22,6,33,27,6,138,8.7,2024-2025
Jalo Eero,FBC,17,14,8,22,16,30,49,-19,71,19.7,2024-2025
Junkkarinen Jonne,Happee,18,6,15,21,2,41,27,14,49,12.2,2024-2025
Eloluoto Lauri,TPS,18,13,8,21,4,36,21,15,92,14.1,2024-2025
Laaksonen Nikolas,FBC,17,10,10,20,2,35,54,-19,82,12.2,2024-2025
Keskinen Juuso,SPV,13,14,6,20,4,33,16,17,92,15.2,2024-2025
Tykkyläinen Konsta,Classic,18,15,5,20,2,48,29,19,64,23.4,2024-2025
Koski Sami,SPV,18,5,14,19,2,29,23,6,39,12.8,2024-2025
Huppunen Jesse-Samuli,Indians,13,6,13,19,0,37,20,17,53,11.3,2024-2025
Hyrkkönen Kim,Happee,17,10,9,19,10,40,26,14,121,8.3,2024-2025
Manninen Jami,Classic,15,11,8,19,2,39,26,13,89,12.4,2024-2025
Äijälä Niklas,Jymy,19,7,11,18,4,38,50,-12,60,11.7,2024-2025
Kakko Tuomas,OLS,19,7,11,18,2,31,31,0,88,8.0,2024-2025
Helin Aaro,Classic,19,8,10,18,2,26,21,5,82,9.8,2024-2025
Lassila Jussi,Jymy,19,12,6,18,6,32,47,-15,73,16.4,2024-2025
Kainulainen Valtteri,Indians,16,12,6,18,6,37,18,19,71,16.9,2024-2025
Vänttilä Kimi,OLS,18,14,4,18,2,33,30,3,60,23.3,2024-2025
Malkavs Jorens,LASB,15,8,9,17,10,28,33,-5,82,9.8,2024-2025
Hietaranta Ville,Classic,18,10,7,17,2,27,18,9,35,28.6,2024-2025
Laasonen Roni,Happee,16,10,7,17,6,27,13,14,59,16.9,2024-2025
Stransky Simon,ErVi,12,8,8,16,20,14,30,-16,70,11.4,2024-2025
Ojala Tuomas,TPS,18,9,7,16,10,37,24,13,97,9.3,2024-2025
Möttönen Juuso,ErVi,17,9,7,16,8,22,44,-22,88,10.2,2024-2025
Karjanlahti Eero,SPV,18,10,6,16,2,30,23,7,41,24.4,2024-2025
Ijäs Eetu,OLS,19,4,11,15,30,32,38,-6,47,8.5,2024-2025
Minkkinen Matti,Happee,17,6,9,15,4,18,22,-4,77,7.8,2024-2025
Lukkari Olli,OLS,19,9,6,15,6,23,41,-18,88,10.2,2024-2025
Havula Tatu,Indians,18,9,6,15,2,39,25,14,59,15.3,2024-2025
Heiska Ville,Happee,14,9,6,15,2,36,22,14,52,17.3,2024-2025
Lehkosuo Otto,Indians,17,11,4,15,4,39,25,14,51,21.6,2024-2025
Laine Olli-Akseli,TPS,18,7,7,14,4,31,19,12,77,9.1,2024-2025
Kauppila Oskari,Jymy,18,10,4,14,10,16,39,-23,37,27.0,2024-2025
Sillanpää Oliver,ErVi,17,13,1,14,4,19,33,-14,64,20.3,2024-2025
Harjula Tuomas,Indians,18,6,7,13,0,37,23,14,29,20.7,2024-2025
Liponen Vili,KrP,15,6,7,13,4,40,21,19,19,31.6,2024-2025
Pelto-Arvo Jukka-Pekka,SPV,18,9,4,13,0,23,14,9,43,20.9,2024-2025
Savela Iiro,OLS,17,10,3,13,10,36,36,0,111,9.0,2024-2025
Repo Juho,SPV,17,6,6,12,0,31,24,7,43,14.0,2024-2025
Junnila Samuli,Indians,17,6,6,12,2,32,20,12,86,7.0,2024-2025
Kilpeläinen Aapo,KrP,15,6,6,12,0,21,11,10,36,16.7,2024-2025
Tuononen verneri,FBC,17,9,3,12,16,21,29,-8,72,12.5,2024-2025
Kauppinen Pyry,TPS,15,9,3,12,4,18,12,6,57,15.8,2024-2025
Eklund Alex,TPS,18,11,1,12,8,20,16,4,49,22.4,2024-2025
Sikkinen Eetu,Classic,18,3,8,11,2,42,24,18,37,8.1,2024-2025
Okkonen Roope,OLS,17,3,8,11,0,32,25,7,42,7.1,2024-2025
Simonen Topias,KrP,16,4,7,11,0,35,21,14,29,13.8,2024-2025
Karppanen Teemu,Classic,18,6,5,11,0,17,12,5,36,16.7,2024-2025
Heikkilä Jeri,SPV,18,6,5,11,2,26,17,9,55,10.9,2024-2025
Pöyhtäri Akseli,FBC,14,6,5,11,28,12,30,-18,43,14.0,2024-2025
Forsman Juuso,FBC,17,8,3,11,8,32,52,-20,121,6.6,2024-2025
Sorvali Eetu,Oilers,17,9,2,11,0,36,18,18,51,17.6,2024-2025
Salminen Toni,Classic,17,4,6,10,0,42,20,22,27,14.8,2024-2025
Ollikainen Aaro,FBC,17,4,6,10,28,18,43,-25,44,9.1,2024-2025
Haataja Elias,TPS,18,5,5,10,2,20,6,14,22,22.7,2024-2025
Suomela Antti,Oilers,16,5,5,10,4,47,28,19,61,8.2,2024-2025
Koskinen Valtteri,FBC,15,5,5,10,0,32,45,-13,36,13.9,2024-2025
Trekse Peteris,Classic,19,6,4,10,4,33,27,6,49,12.2,2024-2025
Auranen Leevi,Indians,18,6,4,10,2,29,20,9,37,16.2,2024-2025
